hour,hour_of_day,day_of_year,it_load_kw,facility_load_kw,utilization,scenario
0,0,0,8649.7,10812.2,0.4829,cloud_heavy
1,1,0,8400.0,10500.0,0.4978,cloud_heavy
2,2,0,9000.3,11250.4,0.5177,cloud_heavy
3,3,0,9224.1,11530.2,0.5431,cloud_heavy
4,4,0,8642.8,10803.5,0.5747,cloud_heavy
5,5,0,9061.3,11326.7,0.6123,cloud_heavy
6,6,0,9753.6,12192.0,0.6556,cloud_heavy
7,7,0,9936.8,12421.0,0.7032,cloud_heavy
8,8,0,10358.9,12948.7,0.7533,cloud_heavy
9,9,0,10422.3,13027.9,0.8033,cloud_heavy
10,10,0,11298.4,14122.9,0.8504,cloud_heavy
11,11,0,11542.2,14427.7,0.8912,cloud_heavy
12,12,0,11512.1,14390.1,0.923,cloud_heavy
13,13,0,12015.8,15019.8,0.9431,cloud_heavy
14,14,0,11832.2,14790.2,0.95,cloud_heavy
15,15,0,11323.2,14153.9,0.9431,cloud_heavy
16,16,0,11616.5,14520.6,0.923,cloud_heavy
17,17,0,10954.5,13693.2,0.8912,cloud_heavy
18,18,0,11298.0,14122.6,0.8504,cloud_heavy
19,19,0,10680.0,13350.0,0.8033,cloud_heavy
20,20,0,10306.7,12883.3,0.7533,cloud_heavy
21,21,0,9827.1,12283.8,0.7032,cloud_heavy
22,22,0,10072.7,12590.9,0.6556,cloud_heavy
23,23,0,9386.0,11732.5,0.6123,cloud_heavy
24,0,1,8461.2,10576.6,0.4829,cloud_heavy
25,1,1,8578.9,10723.7,0.4978,cloud_heavy
26,2,1,8942.7,11178.4,0.5177,cloud_heavy
27,3,1,9069.3,11336.7,0.5431,cloud_heavy
28,4,1,9293.8,11617.2,0.5747,cloud_heavy
29,5,1,9551.6,11939.5,0.6123,cloud_heavy
30,6,1,10340.6,12925.8,0.6556,cloud_heavy
31,7,1,9909.7,12387.1,0.7032,cloud_heavy
32,8,1,10204.9,12756.1,0.7533,cloud_heavy
33,9,1,10434.9,13043.6,0.8033,cloud_heavy
34,10,1,11211.4,14014.2,0.8504,cloud_heavy
35,11,1,11661.0,14576.2,0.8912,cloud_heavy
36,12,1,11450.1,14312.6,0.923,cloud_heavy
