hour,hour_of_day,day_of_year,it_load_kw,facility_load_kw,utilization,scenario
0,0,0,6542.0,8504.5,0.5743,mixed
1,1,0,6427.9,8356.3,0.5854,mixed
2,2,0,6571.1,8542.5,0.6001,mixed
3,3,0,6648.8,8643.4,0.6189,mixed
4,4,0,6688.1,8694.5,0.6423,mixed
5,5,0,6814.8,8859.3,0.6701,mixed
6,6,0,6624.7,8612.1,0.7021,mixed
7,7,0,6715.0,8729.5,0.7373,mixed
8,8,0,7006.6,9108.6,0.7744,mixed
9,9,0,7122.7,9259.5,0.8115,mixed
10,10,0,7117.8,9253.2,0.8463,mixed
11,11,0,7374.8,9587.3,0.8765,mixed
12,12,0,7593.7,9871.9,0.9,mixed
13,13,0,7701.9,10012.5,0.9149,mixed
14,14,0,7768.0,10098.5,0.92,mixed
15,15,0,7143.7,9286.7,0.9149,mixed
16,16,0,7134.4,9274.7,0.9,mixed
17,17,0,7258.3,9435.7,0.8765,mixed
18,18,0,7248.5,9423.1,0.8463,mixed
19,19,0,7075.7,9198.4,0.8115,mixed
20,20,0,6899.2,8969.0,0.7744,mixed
21,21,0,6841.3,8893.7,0.7373,mixed
22,22,0,6897.2,8966.4,0.7021,mixed
23,23,0,6435.3,8365.9,0.6701,mixed
24,0,1,6866.3,8926.1,0.5743,mixed
25,1,1,6452.5,8388.3,0.5854,mixed
26,2,1,6697.2,8706.4,0.6001,mixed
27,3,1,6435.1,8365.6,0.6189,mixed
28,4,1,6733.1,8753.1,0.6423,mixed
29,5,1,6722.8,8739.6,0.6701,mixed
30,6,1,6973.4,9065.4,0.7021,mixed
31,7,1,6863.2,8922.2,0.7373,mixed
32,8,1,7342.1,9544.7,0.7744,mixed
33,9,1,6807.7,8850.0,0.8115,mixed
34,10,1,7437.1,9668.2,0.8463,mixed
35,11,1,7348.0,9552.3,0.8765,mixed
36,12,1,7166.5,9316.4,0.9,mixed
37,13,1,7872.5,10234.3,0.9149,mixed
38,14,1,7865.6,10225.3,0.92,mixed
39,15,1,6974.3,9066.6,0.9149,mixed
40,16,1,7431.5,9661.0,0.9,mixed
41,17,1,7476.9,9719.9,0.8765,mixed
42,18,1,7326.9,9525.0,0.8463,mixed
43,19,1,7450.7,9685.9,0.8115,mixed
44,20,1,7290.8,9478.0,0.7744,mixed
45,21,1,6959.3,9047.0,0.7373,mixed
46,22,1,7263.1,9442.0,0.7021,mixed
47,23,1,6891.1,8958.4,0.6701,mixed
48,0,2,6347.6,8251.9,0.5743,mixed
49,1,2,6341.6,8244.1,0.5854,mixed
50,2,2,6734.7,8755.1,0.6001,mixed
51,3,2,6393.3,8311.3,0.6189,mixed
52,4,2,6537.7,8499.0,0.6423,mixed
53,5,2,6654.5,8650.8,0.6701,mixed
54,6,2,6871.2,8932.5,0.7021,mixed
55,7,2,6864.3,8923.5,0.7373,mixed
56,8,2,6738.4,8759.9,0.7744,mixed
57,9,2,7375.1,9587.7,0.8115,mixed
58,10,2,7143.4,9286.4,0.8463,mixed
59,11,2,7765.6,10095.2,0.8765,mixed
60,12,2,7459.7,9697.7,0.9,mixed
61,13,2,7719.7,10035.6,0.9149,mixed
62,14,2,7593.3,9871.4,0.92,mixed
63,15,2,7730.4,10049.5,0.9149,mixed
64,16,2,7518.8,9774.4,0.9,mixed
65,17,2,7373.5,9585.6,0.8765,mixed
66,18,2,7468.3,9708.8,0.8463,mixed
67,19,2,7658.2,9955.6,0.8115,mixed
68,20,2,6958.8,9046.4,0.7744,mixed
69,21,2,7069.0,9189.7,0.7373,mixed
70,22,2,6797.6,8836.8,0.7021,mixed
71,23,2,6804.4,8845.8,0.6701,mixed
72,0,3,6423.4,8350.4,0.5743,mixed
73,1,3,6031.0,7840.3,0.5854,mixed
74,2,3,6453.5,8389.6,0.6001,mixed
75,3,3,6745.5,8769.1,0.6189,mixed
76,4,3,6467.1,8407.3,0.6423,mixed
77,5,3,6887.9,8954.2,0.6701,mixed
78,6,3,6836.1,8886.9,0.7021,mixed
79,7,3,6864.7,8924.1,0.7373,mixed
80,8,3,7206.2,9368.1,0.7744,mixed
81,9,3,7272.3,9454.0,0.8115,mixed
82,10,3,7322.4,9519.1,0.8463,mixed
83,11,3,7545.0,9808.5,0.8765,mixed
84,12,3,7437.4,9668.6,0.9,mixed
85,13,3,7070.1,9191.1,0.9149,mixed
86,14,3,7367.8,9578.1,0.92,mixed
87,15,3,7034.4,9144.7,0.9149,mixed
88,16,3,7538.1,9799.5,0.9,mixed
89,17,3,7518.7,9774.4,0.8765,mixed
90,18,3,7435.4,9666.0,0.8463,mixed
91,19,3,7231.3,9400.6,0.8115,mixed
92,20,3,7219.3,9385.1,0.7744,mixed
93,21,3,6577.8,8551.1,0.7373,mixed
94,22,3,6776.7,8809.7,0.7021,mixed
95,23,3,6418.2,8343.6,0.6701,mixed
96,0,4,6346.3,8250.2,0.5743,mixed
97,1,4,6761.1,8789.5,0.5854,mixed
98,2,4,6705.5,8717.1,0.6001,mixed
99,3,4,6679.2,8682.9,0.6189,mixed
100,4,4,6583.0,8557.9,0.6423,mixed
101,5,4,6502.9,8453.7,0.6701,mixed
102,6,4,6836.8,8887.8,0.7021,mixed
103,7,4,7134.4,9274.7,0.7373,mixed
104,8,4,7101.8,9232.4,0.7744,mixed
105,9,4,6787.7,8824.0,0.8115,mixed
106,10,4,7253.8,9430.0,0.8463,mixed
107,11,4,6901.6,8972.1,0.8765,mixed
108,12,4,7570.7,9841.9,0.9,mixed
109,13,4,7282.4,9467.1,0.9149,mixed
110,14,4,7178.9,9332.5,0.92,mixed
111,15,4,7619.5,9905.3,0.9149,mixed
112,16,4,7516.4,9771.3,0.9,mixed
113,17,4,7372.9,9584.8,0.8765,mixed
114,18,4,7706.6,10018.6,0.8463,mixed
115,19,4,7262.5,9441.2,0.8115,mixed
116,20,4,6879.8,8943.8,0.7744,mixed
117,21,4,7011.9,9115.4,0.7373,mixed
118,22,4,6740.3,8762.4,0.7021,mixed
119,23,4,6957.4,9044.6,0.6701,mixed
120,0,5,6447.3,8381.5,0.567,mixed
121,1,5,6489.8,8436.7,0.5748,mixed
122,2,5,6168.5,8019.0,0.5851,mixed
123,3,5,6499.0,8448.7,0.5982,mixed
124,4,5,6525.0,8482.5,0.6146,mixed
125,5,5,6391.9,8309.5,0.6341,mixed
126,6,5,6617.5,8602.7,0.6565,mixed
127,7,5,6823.8,8870.9,0.6811,mixed
128,8,5,6812.7,8856.5,0.7071,mixed
129,9,5,6599.4,8579.3,0.733,mixed
130,10,5,6907.4,8979.6,0.7574,mixed
131,11,5,6929.3,9008.1,0.7786,mixed
132,12,5,7118.4,9253.9,0.795,mixed
133,13,5,7126.8,9264.9,0.8054,mixed
134,14,5,7031.4,9140.8,0.809,mixed
135,15,5,7012.5,9116.2,0.8054,mixed
136,16,5,7091.6,9219.1,0.795,mixed
137,17,5,7231.0,9400.4,0.7786,mixed
138,18,5,7022.7,9129.5,0.7574,mixed
139,19,5,7185.6,9341.3,0.733,mixed
140,20,5,7045.2,9158.8,0.7071,mixed
141,21,5,7038.2,9149.6,0.6811,mixed
142,22,5,6935.3,9015.8,0.6565,mixed
143,23,5,6903.8,8974.9,0.6341,mixed
144,0,6,6172.2,8023.9,0.567,mixed
145,1,6,6541.2,8503.6,0.5748,mixed
146,2,6,6683.1,8688.1,0.5851,mixed
147,3,6,6759.3,8787.1,0.5982,mixed
148,4,6,6384.9,8300.4,0.6146,mixed
149,5,6,6724.6,8742.0,0.6341,mixed
150,6,6,6676.8,8679.8,0.6565,mixed
151,7,6,7109.0,9241.7,0.6811,mixed
152,8,6,6530.0,8489.0,0.7071,mixed
153,9,6,6732.3,8752.0,0.733,mixed
154,10,6,6586.2,8562.0,0.7574,mixed
155,11,6,7058.5,9176.0,0.7786,mixed
156,12,6,7558.0,9825.4,0.795,mixed
157,13,6,7099.1,9228.9,0.8054,mixed
158,14,6,7140.9,9283.2,0.809,mixed
