hour,hour_of_day,day_of_year,it_load_kw,facility_load_kw,utilization,scenario
0,0,0,16738.1,20085.8,0.8118,ai_heavy
1,1,0,16094.6,19313.5,0.8172,ai_heavy
2,2,0,16622.8,19947.3,0.8244,ai_heavy
3,3,0,15794.1,18953.0,0.8335,ai_heavy
4,4,0,16844.6,20213.5,0.8449,ai_heavy
5,5,0,16339.6,19607.6,0.8584,ai_heavy
6,6,0,16469.2,19763.1,0.874,ai_heavy
7,7,0,16377.3,19652.7,0.8911,ai_heavy
8,8,0,16123.2,19347.9,0.9092,ai_heavy
9,9,0,16429.2,19715.1,0.9272,ai_heavy
10,10,0,16266.2,19519.5,0.9441,ai_heavy
11,11,0,17008.9,20410.6,0.9588,ai_heavy
12,12,0,16469.1,19762.9,0.9703,ai_heavy
13,13,0,15848.6,19018.3,0.9775,ai_heavy
14,14,0,15765.2,18918.3,0.98,ai_heavy
15,15,0,15734.0,18880.8,0.9775,ai_heavy
16,16,0,16877.2,20252.7,0.9703,ai_heavy
17,17,0,15961.8,19154.2,0.9588,ai_heavy
18,18,0,16633.5,19960.2,0.9441,ai_heavy
19,19,0,16497.4,19796.8,0.9272,ai_heavy
20,20,0,16339.7,19607.6,0.9092,ai_heavy
21,21,0,16527.4,19832.9,0.8911,ai_heavy
22,22,0,16334.4,19601.2,0.874,ai_heavy
23,23,0,14889.1,17866.9,0.8584,ai_heavy
24,0,1,15899.2,19079.1,0.8118,ai_heavy
25,1,1,16277.6,19533.1,0.8172,ai_heavy
26,2,1,16887.9,20265.5,0.8244,ai_heavy
27,3,1,16941.5,20329.8,0.8335,ai_heavy
28,4,1,15501.6,18601.9,0.8449,ai_heavy
29,5,1,16036.6,19243.9,0.8584,ai_heavy
30,6,1,15493.3,18592.0,0.874,ai_heavy
31,7,1,17056.7,20468.0,0.8911,ai_heavy
32,8,1,16868.9,20242.7,0.9092,ai_heavy
33,9,1,16602.9,19923.4,0.9272,ai_heavy
34,10,1,16567.2,19880.7,0.9441,ai_heavy
35,11,1,17217.7,20661.2,0.9588,ai_heavy
36,12,1,17172.2,20606.6,0.9703,ai_heavy
37,13,1,17170.1,20604.1,0.9775,ai_heavy
38,14,1,16829.1,20194.9,0.98,ai_heavy
39,15,1,16419.7,19703.7,0.9775,ai_heavy
40,16,1,16951.4,20341.7,0.9703,ai_heavy
41,17,1,16937.7,20325.2,0.9588,ai_heavy
42,18,1,16390.8,19669.0,0.9441,ai_heavy
43,19,1,16256.9,19508.3,0.9272,ai_heavy
44,20,1,16928.1,20313.7,0.9092,ai_heavy
45,21,1,17127.3,20552.7,0.8911,ai_heavy
46,22,1,15891.7,19070.0,0.874,ai_heavy
47,23,1,16078.5,19294.2,0.8584,ai_heavy
48,0,2,16224.1,19469.0,0.8118,ai_heavy
49,1,2,16307.2,19568.7,0.8172,ai_heavy
50,2,2,15843.6,19012.3,0.8244,ai_heavy
51,3,2,17036.8,20444.2,0.8335,ai_heavy
52,4,2,16367.2,19640.6,0.8449,ai_heavy
53,5,2,16464.9,19757.9,0.8584,ai_heavy
54,6,2,17115.0,20538.0,0.874,ai_heavy
55,7,2,16093.1,19311.7,0.8911,ai_heavy
56,8,2,16328.1,19593.7,0.9092,ai_heavy
57,9,2,15812.3,18974.7,0.9272,ai_heavy
58,10,2,16399.9,19679.8,0.9441,ai_heavy
59,11,2,15794.4,18953.3,0.9588,ai_heavy
60,12,2,16941.8,20330.2,0.9703,ai_heavy
61,13,2,16802.7,20163.2,0.9775,ai_heavy
62,14,2,16463.7,19756.4,0.98,ai_heavy
63,15,2,16543.6,19852.3,0.9775,ai_heavy
64,16,2,16948.6,20338.3,0.9703,ai_heavy
65,17,2,15969.6,19163.5,0.9588,ai_heavy
66,18,2,16586.1,19903.3,0.9441,ai_heavy
67,19,2,16774.8,20129.8,0.9272,ai_heavy
68,20,2,15496.1,18595.4,0.9092,ai_heavy
69,21,2,16648.1,19977.7,0.8911,ai_heavy
70,22,2,15440.7,18528.8,0.874,ai_heavy
71,23,2,16149.4,19379.3,0.8584,ai_heavy
72,0,3,15494.8,18593.7,0.8118,ai_heavy
73,1,3,16762.7,20115.3,0.8172,ai_heavy
74,2,3,15537.1,18644.5,0.8244,ai_heavy
75,3,3,15327.3,18392.8,0.8335,ai_heavy
76,4,3,16227.2,19472.6,0.8449,ai_heavy
77,5,3,16005.4,19206.5,0.8584,ai_heavy
78,6,3,15523.3,18628.0,0.874,ai_heavy
79,7,3,16570.2,19884.2,0.8911,ai_heavy
80,8,3,15393.4,18472.0,0.9092,ai_heavy
81,9,3,15919.3,19103.1,0.9272,ai_heavy
82,10,3,16200.6,19440.7,0.9441,ai_heavy
83,11,3,16930.8,20317.0,0.9588,ai_heavy
84,12,3,17214.0,20656.8,0.9703,ai_heavy
85,13,3,17142.6,20571.1,0.9775,ai_heavy
86,14,3,16525.3,19830.4,0.98,ai_heavy
87,15,3,15385.3,18462.3,0.9775,ai_heavy
88,16,3,16764.3,20117.2,0.9703,ai_heavy
89,17,3,17262.3,20714.8,0.9588,ai_heavy
90,18,3,17095.3,20514.3,0.9441,ai_heavy
91,19,3,16658.2,19989.9,0.9272,ai_heavy
92,20,3,15787.3,18944.7,0.9092,ai_heavy
93,21,3,16055.8,19267.0,0.8911,ai_heavy
94,22,3,17200.3,20640.4,0.874,ai_heavy
95,23,3,15517.8,18621.3,0.8584,ai_heavy
96,0,4,15502.3,18602.7,0.8118,ai_heavy
97,1,4,16527.1,19832.5,0.8172,ai_heavy
98,2,4,15887.6,19065.2,0.8244,ai_heavy
99,3,4,15553.9,18664.7,0.8335,ai_heavy
100,4,4,16903.4,20284.1,0.8449,ai_heavy
101,5,4,16430.8,19716.9,0.8584,ai_heavy
102,6,4,16071.0,19285.1,0.874,ai_heavy
103,7,4,15752.1,18902.6,0.8911,ai_heavy
104,8,4,17377.1,20852.5,0.9092,ai_heavy
105,9,4,16418.0,19701.6,0.9272,ai_heavy
106,10,4,17176.2,20611.4,0.9441,ai_heavy
107,11,4,16976.2,20371.4,0.9588,ai_heavy
108,12,4,16311.1,19573.3,0.9703,ai_heavy
109,13,4,16338.3,19605.9,0.9775,ai_heavy
110,14,4,17322.0,20786.4,0.98,ai_heavy
111,15,4,17321.7,20786.0,0.9775,ai_heavy
112,16,4,15637.0,18764.4,0.9703,ai_heavy
113,17,4,16805.6,20166.7,0.9588,ai_heavy
114,18,4,16425.2,19710.2,0.9441,ai_heavy
115,19,4,15920.7,19104.9,0.9272,ai_heavy
116,20,4,16500.0,19800.1,0.9092,ai_heavy
117,21,4,15652.4,18782.9,0.8911,ai_heavy
118,22,4,16029.7,19235.6,0.874,ai_heavy
119,23,4,15818.4,18982.0,0.8584,ai_heavy
