hour,hour_of_day,day_of_year,it_load_kw,facility_load_kw,utilization,scenario
0,0,0,12013.5,14416.2,0.4829,cloud_heavy
1,1,0,11666.7,14000.0,0.4978,cloud_heavy
2,2,0,12500.4,15000.5,0.5177,cloud_heavy
3,3,0,12811.3,15373.5,0.5431,cloud_heavy
4,4,0,12003.9,14404.6,0.5747,cloud_heavy
5,5,0,12585.2,15102.2,0.6123,cloud_heavy
6,6,0,13546.7,16256.0,0.6556,cloud_heavy
7,7,0,13801.1,16561.4,0.7032,cloud_heavy
8,8,0,14387.4,17264.9,0.7533,cloud_heavy
9,9,0,14475.4,17370.5,0.8033,cloud_heavy
10,10,0,15692.2,18830.6,0.8504,cloud_heavy
11,11,0,16030.8,19236.9,0.8912,cloud_heavy
12,12,0,15989.0,19186.9,0.923,cloud_heavy
13,13,0,16688.6,20026.4,0.9431,cloud_heavy
14,14,0,16433.5,19720.3,0.95,cloud_heavy
15,15,0,15726.6,18871.9,0.9431,cloud_heavy
16,16,0,16134.0,19360.8,0.923,cloud_heavy
17,17,0,15214.6,18257.5,0.8912,cloud_heavy
18,18,0,15691.7,18830.1,0.8504,cloud_heavy
19,19,0,14833.4,17800.0,0.8033,cloud_heavy
20,20,0,14314.8,17177.8,0.7533,cloud_heavy
21,21,0,13648.7,16378.4,0.7032,cloud_heavy
22,22,0,13989.9,16787.8,0.6556,cloud_heavy
23,23,0,13036.1,15643.3,0.6123,cloud_heavy
24,0,1,11751.7,14102.1,0.4829,cloud_heavy
25,1,1,11915.2,14298.2,0.4978,cloud_heavy
26,2,1,12420.4,14904.5,0.5177,cloud_heavy
27,3,1,12596.3,15115.6,0.5431,cloud_heavy
28,4,1,12908.0,15489.6,0.5747,cloud_heavy
29,5,1,13266.1,15919.3,0.6123,cloud_heavy
30,6,1,14362.0,17234.3,0.6556,cloud_heavy
31,7,1,13763.5,16516.1,0.7032,cloud_heavy
32,8,1,14173.4,17008.1,0.7533,cloud_heavy
33,9,1,14492.9,17391.5,0.8033,cloud_heavy
34,10,1,15571.3,18685.6,0.8504,cloud_heavy
35,11,1,16195.8,19435.0,0.8912,cloud_heavy
36,12,1,15902.9,19083.5,0.923,cloud_heavy
37,13,1,15735.9,18883.0,0.9431,cloud_heavy
38,14,1,15805.4,18966.5,0.95,cloud_heavy
39,15,1,16457.8,19749.4,0.9431,cloud_heavy
40,16,1,16313.3,19575.9,0.923,cloud_heavy
41,17,1,15920.5,19104.6,0.8912,cloud_heavy
42,18,1,14983.6,17980.3,0.8504,cloud_heavy
43,19,1,14959.1,17950.9,0.8033,cloud_heavy
44,20,1,14445.0,17334.0,0.7533,cloud_heavy
45,21,1,14024.7,16829.7,0.7032,cloud_heavy
46,22,1,13847.7,16617.3,0.6556,cloud_heavy
47,23,1,13184.7,15821.6,0.6123,cloud_heavy
48,0,2,12147.2,14576.6,0.4829,cloud_heavy
49,1,2,12066.8,14480.2,0.4978,cloud_heavy
50,2,2,12331.2,14797.5,0.5177,cloud_heavy
51,3,2,12695.7,15234.8,0.5431,cloud_heavy
52,4,2,12192.8,14631.3,0.5747,cloud_heavy
53,5,2,12971.2,15565.5,0.6123,cloud_heavy
